"id","source_id","source","type","user_name","created_at","fetched_at","link","image","flagged"
1,"658417306884796400","twitter","tweet","FehnPete","2015-10-25 18:58:13-04","2015-10-25 18:58:13.617-04","//twitter.com/FehnPete/statuses/658417306884796416",,
2,"658361289459241000","twitter","retweet","IngrahamAngle","2015-10-25 15:15:37-04","2015-10-25 18:58:13.86-04","//twitter.com/IngrahamAngle/statuses/658361289459240960",,
4,"658329346193662000","twitter","retweet","jaketapper","2015-10-25 13:08:41-04","2015-10-25 18:58:14.392-04","//twitter.com/jaketapper/statuses/658329346193661955",,
5,"658417310982651900","twitter","tweet","xen_x","2015-10-25 18:58:14-04","2015-10-25 18:58:14.589-04","//twitter.com/xen_x/statuses/658417310982651904",,
6,"654455584847196200","twitter","retweet","HilariousRoasts","2015-10-14 20:35:45-04","2015-10-25 18:58:15.134-04","//twitter.com/HilariousRoasts/statuses/654455584847196160","http://pbs.twimg.com/ext_tw_video_thumb/654455561371688960/pu/img/KtCX8Pz6mkw64NHD.jpg",
7,"658417315034206200","twitter","tweet","RonThornton","2015-10-25 18:58:15-04","2015-10-25 18:58:15.576-04","//twitter.com/RonThornton/statuses/658417315034206208",,
418,"658675275723616300","twitter","retweet","freddoso","2015-10-26 12:03:17-04","2015-10-26 13:20:10.888-04","//twitter.com/freddoso/statuses/658675275723616257",,
447,"658694647745761300","twitter","tweet","PrivacyLaw_","2015-10-26 13:20:16-04","2015-10-26 13:20:16.695-04","//twitter.com/PrivacyLaw_/statuses/658694647745761280",,TRUE
8,"658417315160043500","twitter","tweet","Himtngirl","2015-10-25 18:58:15-04","2015-10-25 18:58:15.713-04","//twitter.com/Himtngirl/statuses/658417315160043520","http://pbs.twimg.com/media/CSMrDyPUEAECIWd.jpg",
97,"1104439632788682501_1428543804","instagram","post","americanstrong_official","2015-10-26 13:11:25-04","2015-10-26 13:19:12.639-04","https://instagram.com/p/9Twf6UO3cF/","https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e35/12070980_871538086276155_937428036_n.jpg",
9,"658417316858867700","twitter","tweet","Kushting","2015-10-25 18:58:15-04","2015-10-25 18:58:15.983-04","//twitter.com/Kushting/statuses/658417316858867716",,
10,"658417317458542600","twitter","tweet","VOnodera","2015-10-25 18:58:15-04","2015-10-25 18:58:16.147-04","//twitter.com/VOnodera/statuses/658417317458542592",,
11,"658413180650176500","twitter","retweet","PeatWorrier","2015-10-25 18:41:49-04","2015-10-25 18:58:16.236-04","//twitter.com/PeatWorrier/statuses/658413180650176512",,
105,"1104435634574130140_2036666213","instagram","post","usa.conservative788","2015-10-26 13:03:29-04","2015-10-26 13:19:12.645-04","https://instagram.com/p/9TvlusEvvc/","https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e35/12120337_695964933873293_356963029_n.jpg",TRUE
175,"658683837719949300","twitter","retweet","chaseantle06","2015-10-26 12:37:19-04","2015-10-26 13:19:20.153-04","//twitter.com/chaseantle06/statuses/658683837719949312",,
12,"658402771188604900","twitter","retweet","neverknownfacts","2015-10-25 18:00:27-04","2015-10-25 18:58:16.598-04","//twitter.com/neverknownfacts/statuses/658402771188604928",,
13,"658366897038229500","twitter","retweet","Aisleyne1","2015-10-25 15:37:54-04","2015-10-25 18:58:16.624-04","//twitter.com/Aisleyne1/statuses/658366897038229504",,
14,"658417319782256600","twitter","tweet","urielamiel","2015-10-25 18:58:16-04","2015-10-25 18:58:16.654-04","//twitter.com/urielamiel/statuses/658417319782256640",,
15,"658416219821899800","twitter","retweet","magic_murphtone","2015-10-25 18:53:54-04","2015-10-25 18:58:16.686-04","//twitter.com/magic_murphtone/statuses/658416219821899776",,
1047,"5550296508_10154183093641509","facebook","link","CNN","2015-10-30 20:32:10-04","2015-10-31 11:52:04.875-04","https://www.facebook.com/5550296508_10154183093641509","https://fbexternal-a.akamaihd.net/safe_image.php?d=AQDik1ix4JF5QyAM&w=130&h=130&url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQLuoRscq8Z3X_6KwZZIZsvpLx05EpmHNgJ-jqo5hBJ0tpuqtjomF3uj14nn6s4TRC8ONuFGp85Ym3Te7ZsnbKiiU6zWIt4TjLKpwseLe4MRX_PtXbZZg008AOqEPltu-ULfEC3LCj3WOCjxf9jXxJHO&cfs=1&sx=93&sy=0&sw=259&sh=259",
16,"658396095576342500","twitter","retweet","Diana24724","2015-10-25 17:33:56-04","2015-10-25 18:58:17.166-04","//twitter.com/Diana24724/statuses/658396095576342528",,
17,"602343437837283300","twitter","retweet","goddessleigh","2015-05-24 01:20:41-04","2015-10-25 18:58:17.208-04","//twitter.com/goddessleigh/statuses/602343437837283328",,
18,"658417322219216900","twitter","tweet","kencampbell66","2015-10-25 18:58:17-04","2015-10-25 18:58:17.331-04","//twitter.com/kencampbell66/statuses/658417322219216897","http://pbs.twimg.com/media/CSMrEMxW0AAWKPm.jpg",
19,"658417322961588200","twitter","tweet","JordanMichael00","2015-10-25 18:58:17-04","2015-10-25 18:58:17.423-04","//twitter.com/JordanMichael00/statuses/658417322961588225",,
20,"658314405826986000","twitter","retweet","_metafizik","2015-10-25 12:09:19-04","2015-10-25 18:58:17.708-04","//twitter.com/_metafizik/statuses/658314405826985984",,TRUE
21,"658417326505742300","twitter","tweet","CharlemagSteak","2015-10-25 18:58:18-04","2015-10-25 18:58:18.224-04","//twitter.com/CharlemagSteak/statuses/658417326505742336",,
181,"658694412688584700","twitter","tweet","OyedepoSamuel","2015-10-26 13:19:20-04","2015-10-26 13:19:20.634-04","//twitter.com/OyedepoSamuel/statuses/658694412688584704",,
182,"658694413384831000","twitter","tweet","lindam0904","2015-10-26 13:19:20-04","2015-10-26 13:19:20.769-04","//twitter.com/lindam0904/statuses/658694413384830976",,
22,"658302917984677900","twitter","retweet","weknowwhatsbest","2015-10-25 11:23:40-04","2015-10-25 18:58:18.535-04","//twitter.com/weknowwhatsbest/statuses/658302917984677889",,TRUE
23,"658417326920855600","twitter","tweet","winbet303","2015-10-25 18:58:18-04","2015-10-25 18:58:18.663-04","//twitter.com/winbet303/statuses/658417326920855553","http://pbs.twimg.com/media/CSMrEZ_U8AEC4KD.jpg",
1073,"10153375790658218_10153390198138218","facebook","comment","Jasmine Ritter","2015-10-30 10:37:12-04","2015-11-01 14:03:45.306-05","https://www.facebook.com/10153375790658218_10153390198138218",,
25,"658415900140310500","twitter","retweet","tayy_sims","2015-10-25 18:52:38-04","2015-10-25 18:58:18.792-04","//twitter.com/tayy_sims/statuses/658415900140310528",,
425,"658694628439400400","twitter","tweet","TimLws","2015-10-26 13:20:12-04","2015-10-26 13:20:12.081-04","//twitter.com/TimLws/statuses/658694628439400448",,
339,"658694543349420000","twitter","tweet","petefrt","2015-10-26 13:19:51-04","2015-10-26 13:19:51.886-04","//twitter.com/petefrt/statuses/658694543349420032","http://pbs.twimg.com/media/BlbG5N3CYAIm8Yx.jpg",
868,"5550296508_10154177437496509","facebook","link","CNN","2015-10-28 08:15:02-04","2015-10-28 18:36:02.184-04","https://www.facebook.com/5550296508_10154177437496509","https://fbexternal-a.akamaihd.net/safe_image.php?d=AQCTl6yqk3N9RdOz&w=130&h=130&url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQIeN6AozRx8Y7FnjwMCIid9CSZwqe4YCRqo7ydiwB9nFgHt8rGGldt7RZqW4f8rLSPEGPSrklBofWQMUfx6kiV2QSQZ3u0x7TJTO4rk0aYENDqWxoFpgyG8gE5TVUDRuLZADsOHcFRTd2q0qjpow5Ts&cfs=1",
26,"658417328850358300","twitter","tweet","ma_riandote","2015-10-25 18:58:18-04","2015-10-25 18:58:18.834-04","//twitter.com/ma_riandote/statuses/658417328850358272",,
27,"658018886734991400","twitter","retweet","MzStephyNichole","2015-10-24 16:35:02-04","2015-10-25 18:58:18.92-04","//twitter.com/MzStephyNichole/statuses/658018886734991361",,
28,"658413918830874600","twitter","retweet","GaryGaryt52","2015-10-25 18:44:45-04","2015-10-25 18:58:18.927-04","//twitter.com/GaryGaryt52/statuses/658413918830874624",,
29,"658408955958313000","twitter","retweet","TheAVClub","2015-10-25 18:25:02-04","2015-10-25 18:58:19.846-04","//twitter.com/TheAVClub/statuses/658408955958312960","http://pbs.twimg.com/tweet_video_thumb/CSGAK8lWEAE3dNg.png",
30,"658417334453977100","twitter","tweet","ImmortalHDTrash","2015-10-25 18:58:19-04","2015-10-25 18:58:20.131-04","//twitter.com/ImmortalHDTrash/statuses/658417334453977088",,
34,"658417337092210700","twitter","tweet","inigo_says","2015-10-25 18:58:20-04","2015-10-25 18:58:20.756-04","//twitter.com/inigo_says/statuses/658417337092210688",,
31,"531474416577044500","twitter","retweet","BlissTabitha","2014-11-09 10:52:29-05","2015-10-25 18:58:20.292-04","//twitter.com/BlissTabitha/statuses/531474416577044480",,
32,"658365797929234400","twitter","retweet","Aisleyne1","2015-10-25 15:33:32-04","2015-10-25 18:58:20.455-04","//twitter.com/Aisleyne1/statuses/658365797929234432",,
33,"657720582738440200","twitter","retweet","CalebMichael19","2015-10-23 20:49:41-04","2015-10-25 18:58:20.654-04","//twitter.com/CalebMichael19/statuses/657720582738440192",,
57,"1104308431283095252_1424856600","instagram","post","_itoha","2015-10-26 08:50:45-04","2015-10-26 09:06:03.942-04","https://instagram.com/p/9TSqrZGQbU/","https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e35/12144322_734375296697118_1077681277_n.jpg",
1163,"273864989376427_1044667292296189","facebook","link","MSNBC","2015-11-01 16:05:09-05","2015-11-01 17:21:33.639-05","https://www.facebook.com/273864989376427_1044667292296189","https://fbexternal-a.akamaihd.net/safe_image.php?d=AQCm8oXWjn0WQVk9&w=130&h=130&url=http%3A%2F%2Fwww.msnbc.com%2Fsites%2Fmsnbc%2Ffiles%2Farticles%2Fgettyimages-494823160.jpg&cfs=1&sx=491&sy=0&sw=1400&sh=1400",
1340,"5550296508_10154195031226509","facebook","link","CNN","2015-11-05 09:00:03-05","2015-11-05 12:06:04.506-05","https://www.facebook.com/5550296508_10154195031226509","https://fbexternal-a.akamaihd.net/safe_image.php?d=AQAFhYz00hSA4PYn&w=130&h=130&url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQLzKUBNt1quYRFquEzr_z5_wVMBgYengxby4IOtQgRqk6hlTN0_Ui0bqmLjtr35ajuiF5rrBKKjoqWiq5ZRffD3ZBEmyVdGA5d-gMsUVuC9Ey-s-ZYU0bZ6KdKWkGl-IU8Q91T3ClTlQ0rXLUsrH3JB&cfs=1",
1160,"5550296508_10154187068391509","facebook","link","CNN","2015-11-01 16:00:01-05","2015-11-01 17:21:30.899-05","https://www.facebook.com/5550296508_10154187068391509","https://external.xx.fbcdn.net/safe_image.php?d=AQCecE0jOxxT5wXQ&w=130&h=130&url=http%3A%2F%2Fi2.cdn.turner.com%2Fcnnnext%2Fdam%2Fassets%2F151101103915-dana-carvey-trump-impersonation-tonight-show-00001627-large-169.jpg&cfs=1&sx=100&sy=0&sw=259&sh=259",
1054,"10153375790658218_10153390280168218","facebook","comment","Jackie Stanton","2015-10-30 11:28:33-04","2015-11-01 14:03:45.306-05","https://www.facebook.com/10153375790658218_10153390280168218",,
35,"640594296085680100","twitter","retweet","SassySenSanders","2015-09-06 14:35:56-04","2015-10-25 18:58:21.023-04","//twitter.com/SassySenSanders/statuses/640594296085680128",,
36,"658406762463170600","twitter","retweet","inthehsfandom","2015-10-25 18:16:19-04","2015-10-25 18:58:21.321-04","//twitter.com/inthehsfandom/statuses/658406762463170560","http://pbs.twimg.com/media/CSMfXtxXIAAxAjp.jpg",
37,"658405137770283000","twitter","retweet","washingtonpost","2015-10-25 18:09:52-04","2015-10-25 18:58:21.719-04","//twitter.com/washingtonpost/statuses/658405137770283009",,
38,"658417341403955200","twitter","tweet","spillungone","2015-10-25 18:58:21-04","2015-10-25 18:58:21.778-04","//twitter.com/spillungone/statuses/658417341403955200",,TRUE
70,"1104311783169806380_184686875","instagram","post","cousincornbread","2015-10-26 08:57:24-04","2015-10-26 09:06:03.95-04","https://instagram.com/p/9TTbdFHVAs/","https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e35/12145582_1653670714880774_1284664882_n.jpg",TRUE
